FDR_Rand_MS,FDR_DS,FDR_MDS,TPR_Rand_MS,TPR_DS,TPR_MDS,successsfull_run,rho,signal_strength
0.025,0.0,0.047619047619047616,0.78,0.74,0.8,1.0,0.2,5.0
0.07894736842105263,0.05555555555555555,0.05555555555555555,0.7,0.68,0.68,1.0,0.2,5.0
0.32075471698113206,0.13157894736842105,0.05405405405405406,0.72,0.66,0.7,1.0,0.2,5.0
0.08333333333333333,0.029411764705882353,0.024390243902439025,0.88,0.66,0.8,1.0,0.2,5.0
0.13333333333333333,0.0,0.0,0.78,0.68,0.74,1.0,0.2,5.0
0.023809523809523808,0.24,0.0,0.82,0.76,0.78,1.0,0.2,5.0
0.13157894736842105,0.05714285714285714,0.0,0.66,0.66,0.72,1.0,0.2,5.0
0.07317073170731707,0.02702702702702703,0.0,0.76,0.72,0.7,1.0,0.2,5.0
0.05405405405405406,0.029411764705882353,0.0,0.7,0.66,0.68,1.0,0.2,5.0
0.09302325581395349,0.17391304347826086,0.0,0.78,0.76,0.76,1.0,0.2,5.0
0.023809523809523808,0.025,0.0,0.82,0.78,0.78,1.0,0.2,5.0
0.0,0.029411764705882353,0.0,0.68,0.66,0.62,1.0,0.2,5.0
0.0,0.09375,0.0,0.64,0.58,0.62,1.0,0.2,5.0
0.18604651162790697,0.16666666666666666,0.0,0.7,0.7,0.74,1.0,0.2,5.0
0.0,0.09523809523809523,0.0,0.74,0.76,0.7,1.0,0.2,5.0
0.07142857142857142,0.07142857142857142,0.0,0.78,0.78,0.78,1.0,0.2,5.0
0.07317073170731707,0.05405405405405406,0.0,0.76,0.7,0.74,1.0,0.4,5.0
0.02564102564102564,0.17073170731707318,0.02702702702702703,0.76,0.68,0.72,1.0,0.4,5.0
0.1,0.1590909090909091,0.0,0.72,0.74,0.68,1.0,0.4,5.0
0.12195121951219512,0.030303030303030304,0.0,0.72,0.64,0.7,1.0,0.4,5.0
0.02564102564102564,0.0,0.07317073170731707,0.76,0.68,0.76,1.0,0.4,5.0
0.08108108108108109,0.06060606060606061,0.05555555555555555,0.68,0.62,0.68,1.0,0.4,5.0
0.18604651162790697,0.175,0.10256410256410256,0.7,0.66,0.7,1.0,0.4,5.0
0.09302325581395349,0.03125,0.05263157894736842,0.78,0.62,0.72,1.0,0.4,5.0
0.11904761904761904,0.0,0.02702702702702703,0.74,0.68,0.72,1.0,0.4,5.0
0.05,0.07692307692307693,0.0,0.76,0.72,0.76,1.0,0.4,5.0
0.10810810810810811,0.0,0.0,0.66,0.54,0.64,1.0,0.4,5.0
0.11904761904761904,0.07894736842105263,0.0,0.74,0.7,0.7,1.0,0.4,5.0
0.15,0.0,0.02857142857142857,0.68,0.64,0.68,1.0,0.4,5.0
0.04878048780487805,0.07692307692307693,0.02631578947368421,0.78,0.72,0.74,1.0,0.4,5.0
0.0,0.05,0.0,0.8,0.76,0.78,1.0,0.4,5.0
0.0,0.06060606060606061,0.0,0.62,0.62,0.6,1.0,0.4,5.0
0.0,0.0,0.0,0.6,0.54,0.58,1.0,0.4,5.0
0.17073170731707318,0.22727272727272727,0.027777777777777776,0.68,0.68,0.7,1.0,0.4,5.0
0.0,0.02857142857142857,0.0,0.7,0.68,0.7,1.0,0.4,5.0
0.09302325581395349,0.11363636363636363,0.02564102564102564,0.78,0.78,0.76,1.0,0.4,5.0
0.1,0.07894736842105263,0.027777777777777776,0.72,0.7,0.7,1.0,0.6,5.0
0.02857142857142857,0.20930232558139536,0.02857142857142857,0.68,0.68,0.68,1.0,0.6,5.0
0.1,0.15,0.0,0.72,0.68,0.66,1.0,0.6,5.0
0.05714285714285714,0.030303030303030304,0.0,0.66,0.64,0.66,1.0,0.6,5.0
0.07317073170731707,0.029411764705882353,0.02631578947368421,0.76,0.66,0.74,1.0,0.6,5.0
0.0625,0.0625,0.058823529411764705,0.6,0.6,0.64,1.0,0.6,5.0
0.24444444444444444,0.06666666666666667,0.1282051282051282,0.68,0.56,0.68,1.0,0.6,5.0
0.0,0.0,0.05555555555555555,0.7,0.6,0.68,1.0,0.6,5.0
0.1,0.0,0.0,0.72,0.64,0.7,1.0,0.6,5.0
0.05555555555555555,0.1282051282051282,0.027777777777777776,0.68,0.68,0.7,1.0,0.6,5.0
0.0,0.0,0.0,0.64,0.44,0.58,1.0,0.6,5.0
0.029411764705882353,0.20930232558139536,0.0,0.66,0.68,0.64,1.0,0.6,5.0
0.11428571428571428,0.08823529411764706,0.029411764705882353,0.62,0.62,0.66,1.0,0.6,5.0
0.05,0.08108108108108109,0.05263157894736842,0.76,0.68,0.72,1.0,0.6,5.0
0.0,0.1,0.0,0.7,0.72,0.7,1.0,0.6,5.0
0.0,0.03571428571428571,0.0,0.56,0.54,0.56,1.0,0.6,5.0
0.037037037037037035,0.0,0.0,0.52,0.52,0.54,1.0,0.6,5.0
0.15384615384615385,0.15,0.029411764705882353,0.66,0.68,0.66,1.0,0.6,5.0
0.0,0.16666666666666666,0.0,0.7,0.7,0.68,1.0,0.6,5.0
0.05405405405405406,0.030303030303030304,0.02702702702702703,0.7,0.64,0.72,1.0,0.6,5.0
0.06060606060606061,0.12121212121212122,0.05714285714285714,0.62,0.58,0.66,1.0,0.8,5.0
0.11764705882352941,0.0967741935483871,0.06060606060606061,0.6,0.56,0.62,1.0,0.8,5.0
0.09090909090909091,0.15151515151515152,0.030303030303030304,0.6,0.56,0.64,1.0,0.8,5.0
0.08571428571428572,0.03225806451612903,0.0,0.64,0.6,0.62,1.0,0.8,5.0
0.1590909090909091,0.03571428571428571,0.08571428571428572,0.74,0.54,0.64,1.0,0.8,5.0
0.06666666666666667,0.06666666666666667,0.03333333333333333,0.56,0.56,0.58,1.0,0.8,5.0
0.16216216216216217,0.17857142857142858,0.23684210526315788,0.62,0.46,0.58,1.0,0.8,5.0
0.0,0.0,0.06060606060606061,0.52,0.5,0.62,1.0,0.8,5.0
0.09375,0.0,0.03571428571428571,0.58,0.54,0.54,1.0,0.8,5.0
0.03225806451612903,0.0,0.0625,0.6,0.54,0.6,1.0,0.8,5.0
0.0,0.041666666666666664,0.038461538461538464,0.5,0.46,0.5,1.0,0.8,5.0
0.03225806451612903,0.24390243902439024,0.0,0.6,0.62,0.58,1.0,0.8,5.0
0.23809523809523808,0.12121212121212122,0.03333333333333333,0.64,0.58,0.58,1.0,0.8,5.0
0.0625,0.0625,0.08823529411764706,0.6,0.6,0.62,1.0,0.8,5.0
0.08571428571428572,0.11764705882352941,0.0,0.64,0.6,0.62,1.0,0.8,5.0
0.041666666666666664,0.09090909090909091,0.0,0.46,0.4,0.5,1.0,0.8,5.0
0.08333333333333333,0.05,0.04,0.44,0.38,0.48,1.0,0.8,5.0
0.11428571428571428,0.19444444444444445,0.06060606060606061,0.62,0.58,0.62,1.0,0.8,5.0
0.0,0.038461538461538464,0.03225806451612903,0.6,0.5,0.6,1.0,0.8,5.0
0.11764705882352941,0.175,0.08823529411764706,0.6,0.66,0.62,1.0,0.8,5.0
