FDR_Rand_MS,FDR_DS,FDR_MDS,TPR_Rand_MS,TPR_DS,TPR_MDS,successsfull_run,rho,signal_strength
0.19047619047619047,0.1951219512195122,0.125,0.68,0.66,0.7,1.0,0.5,5.0
0.05263157894736842,0.0,0.027777777777777776,0.72,0.6,0.7,1.0,0.5,5.0
0.1,0.0,0.0,0.72,0.64,0.7,1.0,0.5,5.0
0.07894736842105263,0.02857142857142857,0.0,0.7,0.68,0.74,1.0,0.5,5.0
0.08571428571428572,0.0,0.0,0.64,0.46,0.6,1.0,0.5,5.0
0.05128205128205128,0.14634146341463414,0.0,0.74,0.7,0.68,1.0,0.5,5.0
0.2,0.058823529411764705,0.08333333333333333,0.64,0.64,0.66,1.0,0.5,5.0
0.04878048780487805,0.07894736842105263,0.02631578947368421,0.78,0.7,0.74,1.0,0.5,5.0
0.0,0.05405405405405406,0.02631578947368421,0.74,0.7,0.74,1.0,0.5,5.0
0.0,0.03225806451612903,0.0,0.62,0.6,0.58,1.0,0.5,5.0
0.06666666666666667,0.0,0.0,0.56,0.52,0.56,1.0,0.5,5.0
0.1951219512195122,0.05555555555555555,0.02857142857142857,0.66,0.68,0.68,1.0,0.5,5.0
0.0,0.125,0.0,0.7,0.7,0.7,1.0,0.5,5.0
0.1,0.05405405405405406,0.05263157894736842,0.72,0.7,0.72,1.0,0.5,5.0
0.10869565217391304,0.11363636363636363,0.024390243902439025,0.82,0.78,0.8,1.0,0.5,6.0
0.07142857142857142,0.14285714285714285,0.02631578947368421,0.78,0.72,0.74,1.0,0.5,6.0
0.1956521739130435,0.125,0.0,0.74,0.7,0.7,1.0,0.5,6.0
0.02564102564102564,0.05714285714285714,0.02564102564102564,0.76,0.66,0.76,1.0,0.5,6.0
0.07142857142857142,0.0,0.047619047619047616,0.78,0.74,0.8,1.0,0.5,6.0
0.05405405405405406,0.0625,0.02857142857142857,0.7,0.6,0.68,1.0,0.5,6.0
0.20454545454545456,0.08333333333333333,0.125,0.7,0.66,0.7,1.0,0.5,6.0
0.04878048780487805,0.02857142857142857,0.02564102564102564,0.78,0.68,0.76,1.0,0.5,6.0
0.20754716981132076,0.0,0.02564102564102564,0.84,0.68,0.76,1.0,0.5,6.0
0.04878048780487805,0.16279069767441862,0.0,0.78,0.72,0.76,1.0,0.5,6.0
0.08108108108108109,0.1111111111111111,0.0,0.68,0.64,0.68,1.0,0.5,6.0
0.05,0.05405405405405406,0.0,0.76,0.7,0.7,1.0,0.5,6.0
0.1282051282051282,0.08571428571428572,0.05405405405405406,0.68,0.64,0.7,1.0,0.5,6.0
0.07142857142857142,0.0975609756097561,0.02564102564102564,0.78,0.74,0.76,1.0,0.5,6.0
0.0,0.02631578947368421,0.0,0.82,0.74,0.78,1.0,0.5,6.0
0.0,0.08108108108108109,0.0,0.64,0.68,0.62,1.0,0.5,6.0
0.030303030303030304,0.034482758620689655,0.0,0.64,0.56,0.6,1.0,0.5,6.0
0.19047619047619047,0.05555555555555555,0.02702702702702703,0.68,0.68,0.72,1.0,0.5,6.0
0.0,0.11904761904761904,0.0,0.74,0.74,0.72,1.0,0.5,6.0
0.07142857142857142,0.11363636363636363,0.02564102564102564,0.78,0.78,0.76,1.0,0.5,6.0
0.12244897959183673,0.05128205128205128,0.0,0.86,0.74,0.82,1.0,0.5,7.0
0.0,0.11627906976744186,0.0,0.82,0.76,0.74,1.0,0.5,7.0
